year,country,ISO,"Life expectancy at birth, total (years)",Population growth (annual %),"School enrollment, tertiary (% gross)",Internet Users(%),GDP per capita (current US$),"Inflation, consumer prices (annual %)"
2003,South Africa,ZAF,54.331,0.924209372808693,,7.00769186,4095.68360999415,5.67941771099109
2002,South Africa,ZAF,55.666,0.910100943022538,,6.71032238,2708.42341883274,9.49471070324861
2001,South Africa,ZAF,57.261,0.885660412204392,,6.346619129,2867.47255222291,5.70190018305716
2000,South Africa,ZAF,58.47,0.962864025570883,,5.348559856,3241.66124034865,5.33895102929217
1999,South Africa,ZAF,59.241,1.1115545448798,,4.116249561,3267.9390794289,5.1814927974787
1998,South Africa,ZAF,60.001,1.24455268099471,,2.906220913,3336.43954671854,6.88054637817292
1997,South Africa,ZAF,60.805,1.38627725951906,,1.632093787,3731.43183046554,8.59778263173684
1996,South Africa,ZAF,61.459,1.52408280185649,,0.841882944,3654.92745642539,7.3541133870696
1995,South Africa,ZAF,62.262,1.64603954100981,,0.67674011,3904.32423803244,8.6804442262446
1994,South Africa,ZAF,62.612,1.7310430672935,15.7806301116943,0.246905535,3547.95141522288,8.93852493545717
1993,South Africa,ZAF,63.045,1.81454621703216,14.4798402786255,0.113747187,3461.33435267018,9.71746732988991
1992,South Africa,ZAF,63.341,2.05590495450165,13.2086696624756,0.038869105,3519.00109082746,13.8746803836057
1991,South Africa,ZAF,63.265,2.55839629290863,12.993670463562,0.013283591,3304.82837710984,15.334802353322
1990,South Africa,ZAF,63.375,3.0783936947649,12.618989944458,0.0,3160.8783649925,14.3209557277219
1989,South Africa,ZAF,63.31,3.35237408677025,12.4718704223633,0.0,2794.39567898293,14.730918284745
1988,South Africa,ZAF,63.345,3.46780704688293,11.5201797485352,0.0,2780.58681833112,12.7795448229904
1987,South Africa,ZAF,63.041,3.49767636658567,,0.0,2672.689100151,16.1605814426616
1986,South Africa,ZAF,62.912,3.27832628041109,,0.0,2103.19201897844,18.6549189263064
1985,South Africa,ZAF,62.38,2.96094891488538,,0.0,1909.73972251918,16.2942269399101
1984,South Africa,ZAF,61.907,2.79449944833296,,0.0,2590.01460214705,11.5264813036766
1983,South Africa,ZAF,61.465,2.68036798668495,,0.0,3019.09868513373,12.3032071438235
1982,South Africa,ZAF,60.933,2.57905498141366,,0.0,2769.09663792252,14.6390324191598
1981,South Africa,ZAF,60.364,2.57656501609284,,0.0,3080.83321949136,15.2542442656564
1980,South Africa,ZAF,59.813,2.63607966695133,,0.0,3034.66139003582,13.6602406858852
1979,South Africa,ZAF,59.395,2.66104293845816,,,2196.69850982939,13.2936586533207
1978,South Africa,ZAF,58.979,2.697162875456,,,1846.85173768388,11.1356076531847
1977,South Africa,ZAF,58.492,2.6809957092095,,,1666.49521811799,11.1519640869289
1976,South Africa,ZAF,58.006,2.68810418678396,,,1554.00240798696,11.0203906361099
1975,South Africa,ZAF,57.512,2.75682890221497,,,1664.48055674013,13.4259418678705
1974,South Africa,ZAF,57.117,2.80855343866057,,,1650.48289147016,11.7241259217023
1973,South Africa,ZAF,56.722,2.84541446569948,4.40316009521484,,1364.20586794348,9.43398734926114
1972,South Africa,ZAF,56.272,2.85517679409004,,,1034.49182061602,6.42570844638618
1971,South Africa,ZAF,55.955,2.92152362199403,,,1016.48348348311,5.95739773780426
1970,South Africa,ZAF,55.579,3.01386109736621,4.25699996948242,,948.591794172109,4.99187711721287
1969,South Africa,ZAF,55.194,3.05802222356712,,,887.246702640596,3.23822451961745
1968,South Africa,ZAF,54.876,3.0868066719664,,,813.50849702348,1.98613552880713
1967,South Africa,ZAF,54.626,3.08929582395733,,,775.152812313432,3.5389915328063
1966,South Africa,ZAF,54.391,3.09221107092551,,,718.118179393123,3.48923368982036
1965,South Africa,ZAF,54.192,3.09150051024929,,,681.131111596082,4.06902873532948
1964,South Africa,ZAF,53.906,3.06137824326201,,,642.688430984599,2.53497284090203
1963,South Africa,ZAF,53.633,3.03343963252032,,,601.59995115142,1.33796971443196
1962,South Africa,ZAF,53.376,2.97865062603954,,,560.699394692777,1.24628537807019
1961,South Africa,ZAF,53.085,2.79949245650161,,,543.042223891929,2.10237396324093
1960,South Africa,ZAF,52.669,,,,529.561922957192,1.28885903549378
2022,"Korea, Rep.",KOR,,-0.225898556795999,,,32254.6247153456,5.08788760792858
2021,"Korea, Rep.",KOR,83.5268292682927,-0.176408650734229,,,34997.7816427848,2.49833333333334
2020,"Korea, Rep.",KOR,83.4268292682927,0.137869266247028,102.467361450195,96.50505829,31721.2980183057,0.537288023411772
2019,"Korea, Rep.",KOR,83.2268292682927,0.347874968577526,98.4461898803711,96.15757751,31902.4169048194,0.383000303608079
2018,"Korea, Rep.",KOR,82.6268292682927,0.433519027613049,95.8641510009766,96.02285767,33436.9230646064,1.47583935002643
2017,"Korea, Rep.",KOR,82.6268292682927,0.280968018301691,94.3496932983398,95.06941986,31616.8434004683,1.94433230786365
2016,"Korea, Rep.",KOR,82.2756097560976,0.396851823381145,94.0336227416992,92.84302521,29288.8704389833,0.97168573991219
2015,"Korea, Rep.",KOR,82.0243902439024,0.527288497407793,94.33984375,89.89625549,28732.2310762599,0.706331772455739
2014,"Korea, Rep.",KOR,81.7219512195122,0.628149861433639,94.85205078125,87.55682373,29249.5752209742,1.27477446401322
2013,"Korea, Rep.",KOR,81.2707317073171,0.455218622164662,95.608642578125,84.76999664,27182.7343101936,1.30134754547411
2012,"Korea, Rep.",KOR,80.819512195122,0.525713660600414,97.4275894165039,84.06999969,25466.7605170594,2.18707104433313
2011,"Korea, Rep.",KOR,80.5682926829269,0.768971758582589,100.747138977051,83.75911713,25096.2638838239,4.02596500436097
2010,"Korea, Rep.",KOR,80.1170731707317,0.49822508440111,102.791023254395,83.69999695,23087.2256438476,2.93928652655687
2009,"Korea, Rep.",KOR,79.9682926829268,0.514682827535803,104.278099060059,81.59999847,19143.8516053025,2.75649654493925
2008,"Korea, Rep.",KOR,79.5170731707317,0.759316681850927,104.092880249023,81.0,21350.4286256041,4.6738965553341
2007,"Korea, Rep.",KOR,79.119512195122,0.505234032920336,101.928176879883,78.80000305,24086.4114327703,2.53457382137933
2006,"Korea, Rep.",KOR,78.6682926829268,0.525199940498775,97.0521774291992,78.09999847,21743.4770908524,2.24234028518923
2005,"Korea, Rep.",KOR,78.1682926829268,0.211997784117548,91.6935806274414,73.5,19402.5032574748,2.75379162735036
2004,"Korea, Rep.",KOR,77.6658536585366,0.396331436697806,87.4888534545898,72.69999695,16496.1200942502,3.59066298882577
2003,"Korea, Rep.",KOR,77.2146341463415,0.518321452985646,84.3598022460938,65.5,14672.8574703505,3.51487451459936
2002,"Korea, Rep.",KOR,76.7658536585366,0.577957276814842,82.1456298828125,59.40000153,13165.0657360554,2.76226210296605
2001,"Korea, Rep.",KOR,76.4121951219512,0.767241774760276,79.5694427490234,56.59999847,11561.2483689073,4.06657587897791
2000,"Korea, Rep.",KOR,75.909756097561,0.836180864297766,76.6555023193359,44.70000076,12256.9935679503,2.25916580080153
1999,"Korea, Rep.",KOR,75.409756097561,0.710794593061376,72.3454666137695,23.5521946,10672.4179334373,0.812957254446379
1998,"Korea, Rep.",KOR,75.0048780487805,0.72186501759031,66.522216796875,6.781815529,8281.69998157684,7.51358008079306
1997,"Korea, Rep.",KOR,74.6024390243903,0.937713808920155,69.2392883300781,3.600801468,12398.4800276705,4.43893184574636
1996,"Korea, Rep.",KOR,74.1512195121951,0.952779421852704,53.7301712036133,1.62423718,13403.049586225,4.92454354292748
1995,"Korea, Rep.",KOR,73.7,1.00620085457685,48.3263397216797,0.819686651,12564.7781344586,4.48074108557248
1994,"Korea, Rep.",KOR,73.3975609756098,1.00615724501748,44.5597991943359,0.311359376,10385.3361681219,6.26585950039683
1993,"Korea, Rep.",KOR,72.9975609756098,1.01582143742509,42.9551887512207,0.24994652,8884.92831945455,4.80099660215357
1992,"Korea, Rep.",KOR,72.4975609756098,1.03916135557339,39.1886405944824,0.09840434,8126.67038993422,6.21328146355184
1991,"Korea, Rep.",KOR,72.0463414634146,0.989785981821526,37.597770690918,0.046124436,7636.98242937015,9.33279048161486
1990,"Korea, Rep.",KOR,71.5975609756098,0.985130494218767,36.5321807861328,0.023265092,6610.0365083067,8.57327225728686
1989,"Korea, Rep.",KOR,71.0487804878049,0.989093268458301,35.4794502258301,0.0,5817.02918132136,5.70016544561398
1988,"Korea, Rep.",KOR,70.5487804878049,0.979189224150187,35.1526718139648,0.0,4748.62960780671,7.14609773721606
1987,"Korea, Rep.",KOR,69.9975609756098,0.985133112424576,34.6076889038086,0.0,3554.59520559057,3.04966077087427
1986,"Korea, Rep.",KOR,69.4463414634146,0.99472386803381,33.4263305664063,0.0,2834.90384756925,2.74998096063353
1985,"Korea, Rep.",KOR,68.7951219512195,0.984565597108821,30.9417591094971,,2482.39995574034,2.45910879215278
1984,"Korea, Rep.",KOR,68.1951219512195,1.23401831140412,27.7324695587158,,2413.26392539765,2.27395640001855
1983,"Korea, Rep.",KOR,67.5463414634146,1.47421882108841,23.6786994934082,0.0,2198.93447182242,3.42061419498925
1982,"Korea, Rep.",KOR,67.0951219512195,1.54546853308404,19.0697994232178,0.0,1992.52822470637,7.19084664006864
1981,"Korea, Rep.",KOR,66.5463414634146,1.56020399239876,14.8661804199219,0.0,1883.4512785111,21.3516402540001
1980,"Korea, Rep.",KOR,66.0463414634146,1.55846267819582,12.4360103607178,0.0,1715.42945990136,28.6976086362017
1979,"Korea, Rep.",KOR,65.5463414634146,1.51687486775835,10.3523902893066,,1783.62231287847,18.3234963421791
1978,"Korea, Rep.",KOR,65.1975609756098,1.5191967189167,9.20726013183594,,1405.82237444554,14.4602850195024
1977,"Korea, Rep.",KOR,64.9,1.55903938603208,8.56017971038818,,1055.8800411599,10.0966653313388
1976,"Korea, Rep.",KOR,64.5024390243902,1.59655859407233,8.30366039276123,,834.134207951691,15.3273205213193
1975,"Korea, Rep.",KOR,64.1536585365854,1.68200005474822,7.56309986114502,,617.456061933567,25.2492564056733
1974,"Korea, Rep.",KOR,63.8048780487805,1.712705419969,7.35910987854004,,563.355957816833,24.3041995402396
1973,"Korea, Rep.",KOR,63.4073170731707,1.7682927120788,7.15065002441406,,406.898830134849,3.2210290469233
1972,"Korea, Rep.",KOR,63.009756097561,1.87599936966995,6.97745990753174,,324.196276804765,11.6889866806844
1971,"Korea, Rep.",KOR,62.6121951219512,1.97132365752048,6.77976989746094,,301.176567717333,13.5117023313079
1970,"Korea, Rep.",KOR,62.1634146341463,2.18417394689467,,,279.304968942819,15.9503423646946
1969,"Korea, Rep.",KOR,62.0510243902439,2.26343403916519,,,243.4268134649,12.3895647111187
1968,"Korea, Rep.",KOR,61.559,2.32035109131777,,,198.431298008386,10.771821396935
1967,"Korea, Rep.",KOR,61.2881219512195,2.33501369333053,,,161.157477341972,10.8824400571964
1966,"Korea, Rep.",KOR,59.5047073170732,2.51438743184719,,,133.478604611526,11.261384877581
1965,"Korea, Rep.",KOR,58.2404878048781,2.54215095083813,,,108.723438937884,13.5481947104654
1964,"Korea, Rep.",KOR,57.1747804878049,2.61539463516021,,,123.60683690555,29.4628314500798
1963,"Korea, Rep.",KOR,55.9748780487805,2.78482005271866,,,146.30305529419,20.6916473186477
1962,"Korea, Rep.",KOR,55.519512195122,2.85932081160452,,,106.160111088805,6.61831097492388
1961,"Korea, Rep.",KOR,54.924,2.96724397295283,,,93.8317591480009,8.19565288254092
1960,"Korea, Rep.",KOR,54.320243902439,,,,158.274637345427,7.96556575482593
2022,India,IND,,0.680372581057012,,,2388.62119776762,6.6990341407985
2021,India,IND,67.24,0.797216093898126,31.3036403656006,,2238.12713873311,5.13140747176369
2020,India,IND,70.15,0.95522085775158,29.4413261413574,43.0,1913.21972103493,6.62343677628532
2019,India,IND,70.91,1.02531077187097,28.5728988647461,29.39999962,2050.16378973235,3.72950573539126
2018,India,IND,70.71,1.08752772157855,28.0605525970459,20.08130074,1974.37773014516,3.93882646691634
2017,India,IND,70.467,1.15562449067646,27.4421348571777,18.20000076,1957.96981368095,3.32817337461301
2016,India,IND,70.117,1.18504622906796,26.8292198181152,16.5,1714.2795405846,4.94821634062142
2015,India,IND,69.636,1.18779532005068,26.7689933776855,14.89999962,1590.17432166504,4.90697344127254
2014,India,IND,69.074,1.24036218382689,25.4321250915527,13.5,1559.86377161811,6.665656718679
2013,India,IND,68.46,1.29754883539168,23.7947120666504,12.30000019,1438.05699513067,10.0178784746103
2012,India,IND,67.887,1.33219204981494,24.2679805755615,11.10000038,1434.01797842656,9.47899691419793
2011,India,IND,67.359,1.36158808453343,22.7646446228027,10.06999969,1449.60330101065,8.9117933648337
2010,India,IND,66.909,1.37759581159767,17.8338851928711,7.5,1350.63445681517,11.9893899204243
